MHC,avg pop%
DRB1_0403,0.075
DRB1_0401,0.039
DRB1_0405,0.026
DRB1_0901,0.031
DRB1_0701,0.084
DRB1_1601,0.036
DRB1_1502,0.057
DRB1_0101,0.025
DRB1_0103,0.004
DRB1_1001,0.015
DRB1_0102,0.02
DRB1_1201,0.07
DRB1_1501,0.072
DRB1_0402,0.016
DRB1_0302,0.007
DRB1_0301,0.055
DRB1_0803,0.049
DRB1_0807,0.001
DRB1_1402,0.024
DRB1_1101,0.09
DRB1_1303,0.011
DRB1_1407,0.002
DRB1_1401,0.055
DRB1_1301,0.064
DRB1_1104,0.026
DRB1_1406,0.008
DRB1_1302,0.028
HLA-DPA10202-DPB12601,0.005
HLA-DPA10202-DPB11301,0.016
HLA-DPA10202-DPB10301,0.024
HLA-DPA10103-DPB10301,0.051
HLA-DPA10103-DPB11101,0.006
HLA-DPA10202-DPB10901,0.019
HLA-DPA10103-DPB11701,0.034
HLA-DPA10201-DPB11801,0.004
HLA-DPA10103-DPB11801,0.006
HLA-DPA10202-DPB11501,0.002
HLA-DPA10202-DPB11901,0.003
HLA-DPA10103-DPB10201,0.221
HLA-DPA10103-DPB10401,0.268
HLA-DPA10202-DPB10401,0.098
HLA-DPA10202-DPB10101,0.01
HLA-DPA10103-DPB10101,0.027
HLA-DPA10202-DPB10501,0.094
HLA-DPA10103-DPB11901,0.002
HLA-DPA10103-DPB10501,0.11
HLA-DQA10501-DQB10402,0.054
HLA-DQA10102-DQB10501,0.071
HLA-DQA10501-DQB10501,0.099
HLA-DQA10501-DQB10201,0.078
HLA-DQA10102-DQB10604,0.011
HLA-DQA10102-DQB10301,0.101
HLA-DQA10102-DQB10201,0.043
HLA-DQA10103-DQB10603,0.066
HLA-DQA10102-DQB10602,0.067
HLA-DQA10501-DQB10301,0.271
HLA-DQA10501-DQB10303,0.139
DRB3_0101,0.333
DRB3_0202,0.333
DRB3_0301,0.333
DRB4_0101,0.500
DRB4_0103,0.500
DRB5_0101,1.0
